food_id,allergy_id
100877,5
100879,5
100880,5
100881,5
100883,5
100884,5
100887,5
100922,5
100936,5
100942,5
100946,5
100952,5
100957,5
100962,5
100975,5
101049,5
101050,5
101054,5
101056,5
101057,5
101058,5
101059,5
101061,5
101062,5
101064,5
101065,5
101066,5
101068,5
101071,5
101072,5
101074,5
101077,5
101079,5
101084,5
101086,5
101088,5
101089,5
101092,5
101094,5
101095,5
101098,5
101099,5
101103,5
101108,5
101138,5
101143,5
101144,5
101145,5
101146,5
101154,5
100001,6
100002,6
100004,6
100005,6
100006,6
100007,6
100008,6
100010,6
100015,6
100016,6
100017,6
100019,6
100021,6
100022,6
100026,6
100027,6
100029,6
100032,6
100036,6
100038,6
100043,6
100044,6
100045,6
100048,6
100049,6
100051,6
100052,6
100054,6
100057,6
100063,6
100065,6
100066,6
100067,6
100068,6
100073,6
100074,6
100075,6
100078,6
100079,6
100080,6
100084,6
100085,6
100089,6
100090,6
100093,6
100095,6
100097,6
100098,6
100101,6
100106,6
100108,6
100111,6
100115,6
100117,6
100118,6
100119,6
100122,6
100124,6
100129,6
100130,6
100131,6
100132,6
100133,6
100142,6
100144,6
100147,6
100148,6
100149,6
100150,6
100151,6
100152,6
100153,6
100154,6
100155,6
100157,6
100160,6
100166,6
100168,6
100169,6
100181,6
100190,6
100193,6
100194,6
100196,6
100197,6
100204,6
100206,6
100207,6
100208,6
100213,6
100215,6
100223,6
100224,6
100231,6
100232,6
100233,6
100234,6
100236,6
100244,6
100245,6
100253,6
100254,6
100256,6
100257,6
100259,6
100262,6
100267,6
100268,6
100270,6
100272,6
100273,6
100274,6
100275,6
100277,6
100278,6
100279,6
100282,6
100284,6
100287,6
